Date,10year,5year,1year
03/10/2015,9.37,9.26,8.82
05/10/2015,9.24,9.2,8.69
06/10/2015,8.86,8.68,8.21
07/10/2015,8.71,8.64,8.22
08/10/2015,8.69,8.48,8.22
09/10/2015,8.7,8.47,8.05
12/10/2015,8.55,8.39,8.1
13/10/2015,8.61,8.39,7.98
14/10/2015,8.61,8.39,7.98
15/10/2015,8.71,8.44,8.11
16/10/2015,8.68,8.56,8.18
18/10/2015,8.68,8.56,8.18
19/10/2015,8.68,8.51,8.52
20/10/2015,8.7,8.6,8.11
21/10/2015,8.75,8.65,8.15
22/10/2015,8.78,8.65,8.22
23/10/2015,8.71,8.64,8.41
26/10/2015,8.66,8.6,8.22
27/10/2015,8.67,8.59,8.2
28/10/2015,8.65,8.58,8.2
29/10/2015,8.71,8.66,8.32
30/10/2015,8.8,8.74,8.46
02/11/2015,8.87,8.78,8.41
03/11/2015,8.86,8.77,8.39
04/11/2015,8.75,8.7,8.32
05/11/2015,8.69,8.64,8.2
06/11/2015,8.64,8.58,8.14
09/11/2015,8.69,8.65,8.19
10/11/2015,8.7,8.67,8.3
11/11/2015,8.63,8.6,8.15
12/11/2015,8.64,8.59,8.16
13/11/2015,8.67,8.56,8.01
16/11/2015,8.67,8.6,8.16
17/11/2015,8.68,8.62,8.13
18/11/2015,8.62,8.58,8.14
19/11/2015,8.63,8.55,8.19
20/11/2015,8.66,8.57,8.43
22/11/2015,8.66,8.57,8.43
23/11/2015,8.66,8.59,8.13
24/11/2015,8.67,8.6,8.23
25/11/2015,8.63,8.54,8.27
26/11/2015,8.58,8.45,8.14
27/11/2015,8.59,8.45,7.94
30/11/2015,8.61,8.49,7.92
01/12/2015,8.55,8.47,8.02
02/12/2015,8.46,8.37,7.96
03/12/2015,8.49,8.45,8.03
04/12/2015,8.5,8.46,8.03
07/12/2015,8.64,8.53,8.22
08/12/2015,8.58,8.56,8.01
09/12/2015,8.58,8.56,8.01
10/12/2015,8.58,8.6,8
11/12/2015,8.63,8.67,8.04
14/12/2015,8.94,8.85,8.08
15/12/2015,9.15,8.97,8.37
16/12/2015,8.96,8.95,8.46
17/12/2015,8.85,8.86,8.82
18/12/2015,8.8,8.75,8.72
19/12/2015,8.74,8.7,8.57
21/12/2015,8.78,8.78,8.61
22/12/2015,8.76,8.77,8.64
23/12/2015,8.77,8.78,8.42
28/12/2015,8.83,8.81,8.54
29/12/2015,8.87,8.88,8.54
30/12/2015,8.89,8.89,8.1
31/12/2015,8.87,8.9,8.11
04/01/2016,8.86,8.88,8.11
05/01/2016,8.83,8.88,8.38
06/01/2016,8.81,8.84,8.47
07/01/2016,8.79,8.87,8.24
08/01/2016,8.78,8.84,8.13
10/01/2016,8.78,8.84,8.13
11/01/2016,8.8,8.85,8.02
12/01/2016,8.69,8.72,8.1
13/01/2016,8.59,8.6,8.09
14/01/2016,8.57,8.53,8.07
15/01/2016,8.54,8.5,7.97
18/01/2016,8.61,8.54,7.95
